container,container_num,reefer_unit,container_make,container_model,container_year,container_serial,shop_id,ownership,trailer_kind,in_service_date,install_date,container_age_years,reefer_install_days,reefer_make,reefer_model,reefer_year,reefer_serial,reefer_status,reefer_age_years,is_slxi,is_thermoking,is_carrier,total_events,shutdown_count,low_fuel_count,alarm_count,restarted_count,not_reporting_count,has_shutdown,total_rail_legs,total_rail_miles,unique_routes,shutdown_rate
FLI900001,900001,AST-1035,CIMCX,UNITMODEL,2014,530416,SHP-10,COM,RFRCNT,2013-10-23,2013-11-07 11:29:00,11,4436.0,Vendor-A,SB230,2013.0,6001132214,ACTIVE,12.0,0,1,0,7,2,2,1,0,2,1,57,136987.0,16,0.0350877192982456
FLI900002,900002,AST-1036,CIMCX,UNITMODEL,2014,530417,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 12:23:00,11,4423.0,Vendor-A,SB230,2013.0,6001132119,ACTIVE,12.0,0,1,0,3,2,1,0,0,0,1,58,122896.0,23,0.0344827586206896
FLI900003,900003,AST-1037,CIMCX,UNITMODEL,2014,530418,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 15:31:00,11,4423.0,Vendor-A,SB230,2013.0,6001132176,ACTIVE,12.0,0,1,0,3,2,0,0,1,0,1,62,118244.0,21,0.032258064516129
FLI900004,900004,AST-1481,CIMCX,UNITMODEL,2014,530419,SHP-10,COM,RFRCNT,2013-10-23,2020-02-25 16:08:00,11,2135.0,Vendor-A,S600,2013.0,6001149665,ACTIVE,12.0,0,1,0,13,2,3,7,0,1,1,62,116758.0,22,0.032258064516129
FLI900005,900005,AST-1038,CIMCX,UNITMODEL,2014,530420,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 15:35:00,11,4423.0,Vendor-A,SB230,2013.0,6001132142,ACTIVE,12.0,0,1,0,5,1,2,1,1,0,1,62,129285.0,23,0.0161290322580645
FLI900006,900006,AST-1039,CIMCX,UNITMODEL,2014,530421,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 15:39:00,11,4423.0,Vendor-A,SB230,2013.0,6001132123,ACTIVE,12.0,0,1,0,7,1,2,3,1,0,1,54,122719.0,18,0.0185185185185185
FLI900007,900007,AST-1040,CIMCX,UNITMODEL,2014,530422,SHP-10,COM,RFRCNT,2013-10-23,2014-01-03 10:30:00,11,4379.0,Vendor-A,SB230,2013.0,6001132108,ACTIVE,12.0,0,1,0,4,2,2,0,0,0,1,60,130976.0,25,0.0333333333333333
FLI900008,900008,AST-1041,CIMCX,UNITMODEL,2014,530423,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 12:25:00,11,4423.0,Vendor-A,SB230,2013.0,6001132187,ACTIVE,12.0,0,1,0,6,3,3,0,0,0,1,57,121170.0,22,0.0526315789473684
FLI900009,900009,AST-1042,CIMCX,UNITMODEL,2014,530424,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 15:41:00,11,4423.0,Vendor-A,SB230,2013.0,6001132106,ACTIVE,12.0,0,1,0,11,4,2,3,1,1,1,53,122994.0,15,0.0754716981132075
FLI900010,900010,AST-1043,CIMCX,UNITMODEL,2014,530425,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 14:02:00,11,4423.0,Vendor-A,SB230,2013.0,6001132145,ACTIVE,12.0,0,1,0,7,3,2,1,1,0,1,54,119068.0,21,0.0555555555555555
FLI900011,900011,AST-1044,CIMCX,UNITMODEL,2014,530426,SHP-10,COM,RFRCNT,2013-10-23,2013-11-07 11:49:00,11,4436.0,Vendor-A,SB230,2013.0,6001132131,ACTIVE,12.0,0,1,0,2,1,1,0,0,0,1,56,122445.0,24,0.0178571428571428
FLI900012,900012,AST-1045,CIMCX,UNITMODEL,2014,530427,SHP-10,COM,RFRCNT,2013-10-23,2013-11-07 12:09:00,11,4436.0,Vendor-A,SB230,2013.0,6001132179,ACTIVE,12.0,0,1,0,5,0,1,0,4,0,0,57,122889.0,22,0.0
FLI900013,900013,AST-1046,CIMCX,UNITMODEL,2014,530428,SHP-10,COM,RFRCNT,2013-10-23,2013-11-11 09:40:00,11,4432.0,Vendor-A,SB230,2013.0,6001132130,ACTIVE,12.0,0,1,0,5,3,0,0,2,0,1,56,119257.0,22,0.0535714285714285
FLI900014,900014,AST-1043,CIMCX,UNITMODEL,2014,530429,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 14:02:00,11,4423.0,Vendor-A,SB230,2013.0,6001132145,ACTIVE,12.0,0,1,0,9,2,3,1,2,0,1,58,129112.0,20,0.0344827586206896
FLI900015,900015,AST-1047,CIMCX,UNITMODEL,2014,530430,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 16:07:00,11,4423.0,Vendor-A,SB230,2013.0,6001132127,ACTIVE,12.0,0,1,0,5,0,1,4,0,0,0,55,116756.0,20,0.0
FLI900016,900016,AST-1048,CIMCX,UNITMODEL,2014,530431,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 14:03:00,11,4423.0,Vendor-A,SB230,2013.0,6001132182,ACTIVE,12.0,0,1,0,10,0,2,6,0,2,0,56,127580.0,19,0.0
FLI900017,900017,AST-1049,CIMCX,UNITMODEL,2014,530432,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 16:09:00,11,4423.0,Vendor-A,SB230,2013.0,6001132183,ACTIVE,12.0,0,1,0,4,2,2,0,0,0,1,58,135489.0,22,0.0344827586206896
FLI900018,900018,AST-1050,CIMCX,UNITMODEL,2014,530433,SHP-10,COM,RFRCNT,2013-10-23,2013-11-07 11:31:00,11,4436.0,Vendor-A,SB230,2013.0,6001132105,ACTIVE,12.0,0,1,0,4,2,2,0,0,0,1,48,111692.0,15,0.0416666666666666
FLI900019,900019,AST-1051,CIMCX,UNITMODEL,2014,530434,SHP-10,COM,RFRCNT,2013-10-23,2013-11-08 15:42:00,11,4435.0,Vendor-A,SB230,2013.0,6001132185,ACTIVE,12.0,0,1,0,4,1,3,0,0,0,1,54,119468.0,20,0.0185185185185185
FLI900020,900020,AST-1052,CIMCX,UNITMODEL,2014,530435,SHP-10,COM,RFRCNT,2013-10-23,2013-11-20 14:15:00,11,4423.0,Vendor-A,SB230,2013.0,6001132175,ACTIVE,12.0,0,1,0,10,2,8,0,0,0,1,61,130038.0,19,0.0327868852459016
