manifest,leg,trailer,reefer_unit,trip_start,trip_end,route,origin,destination,leg_miles,total_miles,service_type,temperature,season,month,day_of_week,trip_duration_days,is_slxi,is_thermoking,is_carrier,reefer_model,reefer_year,pm_policy_days,reefer_age_at_trip,container_age_at_trip,reefer_install_days_at_trip,days_since_last_pm,is_pm_overdue,days_pm_overdue,pm_on_time_count,pm_late_count,pm_total_intervals,pm_compliance_ratio,pm_gap_mean,pm_gap_std,pm_gap_cv,pm_gap_max,pm_gap_min,days_since_major_service,has_had_major_service,days_since_starter_replacement,has_had_starter_replacement,days_since_alternator_replacement,has_had_alternator_replacement,days_since_battery_replacement,has_had_battery_replacement,days_since_fuel_polishing,has_had_fuel_polishing,repair_cum_cost,repair_cum_count,nonpm_cum_cost,nonpm_cum_count,repair_cost_30d,repair_count_30d,nonpm_cost_30d,nonpm_count_30d,repair_cost_90d,repair_count_90d,nonpm_cost_90d,nonpm_count_90d,repair_cost_180d,repair_count_180d,nonpm_cost_180d,nonpm_count_180d,repair_cost_365d,repair_count_365d,nonpm_cost_365d,nonpm_count_365d,repair_acceleration,repeat_repairs_90d,max_repeat_count_90d,genrep_to_pm_ratio,days_since_any_shop_visit,unique_repair_reasons_90d,unique_shops_365d,unique_compcodes_cum,unique_compcodes_365d,unique_shops,has_dor,has_dor_90d,has_accident,has_warranty,compressor_cum,compressor_90d,compressor_365d,electrical_charging_cum,electrical_charging_90d,electrical_charging_365d,fuel_system_cum,fuel_system_90d,fuel_system_365d,condenser_cum,condenser_90d,condenser_365d,engine_cum,engine_90d,engine_365d,evaporator_cum,evaporator_90d,evaporator_365d,refrigerant_lines_cum,refrigerant_lines_90d,refrigerant_lines_365d,coolant_cum,coolant_90d,coolant_365d,sheet_metal_cum,sheet_metal_90d,sheet_metal_365d,throttle_cum,throttle_90d,throttle_365d,starter_cranking_cum,starter_cranking_90d,starter_cranking_365d,drier_cum,drier_90d,drier_365d,diagnosis_cum,diagnosis_90d,diagnosis_365d,chute_bulkhead_cum,chute_bulkhead_90d,chute_bulkhead_365d,data_logger_cum,data_logger_90d,data_logger_365d,unit_retrieval_cum,unit_retrieval_90d,unit_retrieval_365d,thermostat_cum,thermostat_90d,thermostat_365d,expansion_valve_cum,expansion_valve_90d,expansion_valve_365d,exhaust_egr_cum,exhaust_egr_90d,exhaust_egr_365d,defrost_cum,defrost_90d,defrost_365d,control_panel_cum,control_panel_90d,control_panel_365d,remote_status_light_cum,remote_status_light_90d,remote_status_light_365d,has_dor_14d,has_electrical_14d,has_starter_14d,days_since_last_repair,diag_no_fix_14d,n_repair_groups_14d,has_repeat_repair_30d,repair_cost_14d,telem_shutdowns_total,telem_alarms_total,telem_low_fuel_total,telem_restarts_total,telem_not_reporting_total,telem_events_total,telem_shutdowns_90d,telem_alarms_90d,telem_low_fuel_90d,telem_events_90d,telem_shutdowns_180d,telem_alarms_180d,telem_low_fuel_180d,telem_events_180d,days_since_last_telem_shutdown,days_since_last_alarm,days_since_last_low_fuel,days_since_last_telem_event,last_battery_voltage,min_battery_voltage_90d,battery_below_12v,last_fuel_pct,alarm_red_total,alarm_yellow_total,alarm_green_total,alarm_red_90d,alarm_yellow_90d,alarm_severity_score,alarm_severity_score_90d,engine_hours_at_trip,engine_hours_per_day,engine_hours_since_last_pm,container_repair_cum_count,container_repair_cum_cost,container_repair_count_90d,container_repair_cost_90d,container_repair_count_365d,container_repair_cost_365d,days_since_last_container_repair,fuel_fills_total,fuel_fills_30d,fuel_fills_90d,fuel_avg_liters_per_fill,days_since_last_fuel_fill,fuel_avg_liters_90d,origin_temp,dest_temp,transit_temp_swing,transit_min_temp,transit_max_temp,origin_dest_temp_diff,extreme_cold_flag,danger_zone_flag,heating_mode,last_mode_continuous,last_mode_cycle_sentry,continuous_mode_ratio,shutdown
2134667,13965213,673718,AST-1358,2025-01-01 01:49:00.000,2025-01-04 14:54:00.000,Hub-East -> Hub-West,Hub-East,Hub-West,2127.0,2127,FRZ,-10.0,Winter,1,2,3.545138888888889,0,1,0,MDL-600,2015.0,90,10.0,10.0,1771,69.0,0.0,0.0,0.0,1.0,1.0,0.0,103.0,0.0,0.0,103.0,103.0,284.0,1,284.0,1,,0,,0,69.0,1,3333.48,6,1135.16,3,168.56,1,168.56,1,494.9,2,168.56,1,898.54,3,168.56,1,3333.48,6,1135.16,3,2.0,0,1,1.0,7.0,1,3,8,8,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,1,1,168.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,21907.0,4.384057971014493,267.0,5,570.85,2,147.05,5,570.85,67.0,11,1,4,97.38363636363634,9.29513888888889,131.825,35.5,4.8,61.5,-22.8,38.7,30.7,1,0,0.0,,,,0
2134821,13966302,693265,AST-1719,2025-01-01 01:49:00.000,2025-01-04 14:54:00.000,Hub-East -> Hub-West,Hub-East,Hub-West,2127.0,2127,FRZ,-15.0,Winter,1,2,3.545138888888889,1,1,0,SLXI-DRC,2019.0,120,6.0,6.0,1770,60.0,0.0,0.0,2.0,0.0,2.0,1.0,113.5,5.5,0.0484581497797356,119.0,108.0,,0,,0,,0,,0,60.0,1,5383.16,9,5077.22,8,127.4,1,127.4,1,433.34,2,127.4,1,978.26,6,672.32,5,5383.16,9,5077.22,8,0.5,0,1,8.0,4.0,1,5,9,9,5,1,1,0,0,2,0,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,1,1,0,127.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,12767.0,6.375899280575539,518.0,13,1207.89,1,7.84,13,1207.89,53.0,15,1,2,82.62733333333334,1.7291666666666667,121.7,35.5,4.8,61.5,-22.8,38.7,30.7,1,0,0.0,,,,0
2135203,13968121,530450,AST-1067,2025-01-01 01:49:00.000,2025-01-04 14:54:00.000,Hub-East -> Hub-West,Hub-East,Hub-West,2127.0,2127,FRZ,-10.0,Winter,1,2,3.545138888888889,0,1,0,MDL-230,2013.0,90,12.0,11.0,4058,86.0,0.0,0.0,0.0,1.0,1.0,0.0,106.0,0.0,0.0,106.0,106.0,,0,,0,,0,3.0,1,192.0,1,2472.4,9,2197.16,8,491.41,1,491.41,1,941.07,2,941.07,2,1811.24,5,1811.24,5,2472.4,9,2197.16,8,0.6666666666666666,1,2,8.0,3.0,1,5,7,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1,2,0,491.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,21133.0,6.044755244755245,340.0,3,97.5,0,0.0,3,97.5,154.0,13,1,2,103.15923076923076,2.529166666666667,89.30499999999999,35.5,4.8,61.5,-22.8,38.7,30.7,1,0,0.0,,,,0
2135377,13969052,693036,AST-1429,2025-01-01 01:49:00.000,2025-01-04 14:53:00.000,Hub-East -> Hub-West,Hub-East,Hub-West,2127.0,2127,HEAT,55.0,Winter,1,2,3.5444444444444443,0,1,0,MDL-600,2016.0,90,9.0,8.0,1771,216.0,1.0,126.0,,,,,,,,,,,0,,0,,0,,0,306.0,1,2185.66,5,1969.13,4,0.0,0,0.0,0,0.0,0,0.0,0,1525.56,2,1525.56,2,2185.66,5,1969.13,4,0.0,0,0,4.0,122.0,0,4,7,7,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,16481.0,5.941624365482234,2187.0,6,757.49,0,0.0,6,757.49,119.0,9,0,1,113.36333333333334,35.421527777777776,54.2,35.5,4.8,61.5,-22.8,38.7,30.7,1,0,1.0,,,,0
2134795,13966171,673715,AST-1355,2025-01-01 01:49:00.000,2025-01-04 14:54:00.000,Hub-East -> Hub-West,Hub-East,Hub-West,2127.0,2127,HEAT,55.0,Winter,1,2,3.545138888888889,0,1,0,MDL-600,2015.0,90,10.0,10.0,1771,92.0,1.0,2.0,1.0,2.0,3.0,0.3333333333333333,84.33333333333333,59.38200251104894,0.7041344171270626,135.0,1.0,211.0,1,93.0,1,,0,151.0,1,347.0,1,5432.76,7,4928.75,6,0.0,0,0.0,0,1182.51,2,1182.51,2,3870.36,5,3870.36,5,5432.76,7,4928.75,6,0.6666666666666666,1,2,6.0,67.0,1,2,15,15,2,1,1,0,0,2,1,2,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,25990.0,7.534456355283308,852.0,5,207.5,1,32.5,5,207.5,53.0,9,0,2,138.36666666666667,70.55694444444444,247.29,35.5,4.8,61.5,-22.8,38.7,30.7,1,0,1.0,,,,0
2135006,13969156,693083,AST-1560,2025-01-01 03:19:00.000,2025-01-07 11:02:00.000,Hub-Pacific -> Hub-East,Hub-Pacific,Hub-East,2738.0,2738,UNK,-10.0,Winter,1,2,6.321527777777778,1,1,0,SLXI-DRC,2018.0,120,7.0,7.0,1771,48.0,0.0,0.0,1.0,0.0,1.0,1.0,111.0,0.0,0.0,111.0,111.0,,0,,0,,0,,0,48.0,1,904.61,3,251.86,1,0.0,0,0.0,0,668.36,2,251.86,1,904.61,3,251.86,1,904.61,3,251.86,1,2.0,0,1,0.5,48.0,1,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,17251.0,5.882352941176471,247.0,13,831.97,3,197.1,13,831.97,9.0,6,0,2,108.06833333333331,43.790277777777774,80.025,38.8,18.9,65.1,-24.6,40.5,19.9,1,0,0.0,,,,0
2134703,13965453,530571,AST-1140,2025-01-01 03:19:00.000,2025-01-08 07:46:00.000,Hub-Pacific -> Hub-Metro,Hub-Pacific,Hub-Metro,2937.0,2937,FRZ,-10.0,Winter,1,2,7.185416666666667,0,1,0,C600,2015.0,90,10.0,10.0,3458,14.0,0.0,0.0,0.0,1.0,1.0,0.0,197.0,0.0,0.0,197.0,197.0,14.0,1,,0,,0,,0,211.0,1,3262.09,6,2588.56,5,673.53,1,0.0,0,905.79,2,232.26,1,998.89,3,325.36,2,3262.09,6,2588.56,5,2.0,0,1,5.0,14.0,1,6,11,11,6,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,18922.0,7.499276410998553,161.0,5,629.08,0,0.0,5,629.08,118.0,7,1,4,99.69571428571427,24.46875,68.275,38.8,8.9,65.1,-24.6,40.5,29.9,1,0,0.0,,,,1
2135340,13969530,535015,AST-1184,2025-01-01 03:19:00.000,2025-01-07 08:34:00.000,Hub-Pacific -> Hub-East,Hub-Pacific,Hub-East,2738.0,2738,UNK,-10.0,Winter,1,2,6.21875,1,1,0,SLXI-DRC,2018.0,120,7.0,7.0,2343,93.0,0.0,0.0,0.0,1.0,1.0,0.0,242.0,0.0,0.0,242.0,242.0,253.0,1,282.0,1,,0,,0,253.0,1,10607.73,13,10162.33,11,0.0,0,0.0,0,0.0,0,0.0,0,4682.9,4,4682.9,4,10607.73,13,10162.33,11,0.0,0,0,5.5,91.0,0,7,16,16,7,1,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,13408.0,6.693965517241379,602.0,7,286.96,1,32.5,7,286.96,64.0,17,2,4,98.63588235294118,13.484722222222222,114.25,38.8,18.9,65.1,-24.6,40.5,19.9,1,0,0.0,,,,1
2135309,13968864,693090,AST-1566,2025-01-01 03:19:00.000,2025-01-08 07:46:00.000,Hub-Pacific -> Hub-Metro,Hub-Pacific,Hub-Metro,2937.0,2937,UNK,-10.0,Winter,1,2,7.185416666666667,1,1,0,SLXI-DRC,2018.0,120,7.0,7.0,1771,45.0,0.0,0.0,0.0,1.0,1.0,0.0,208.0,0.0,0.0,208.0,208.0,207.0,1,207.0,1,,0,,0,253.0,1,8722.279999999999,11,8469.44,10,0.0,0,0.0,0,252.84,1,0.0,0,1417.11,5,1164.27,4,8722.279999999999,11,8469.44,10,0.25,0,0,10.0,45.0,0,4,14,14,4,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,16253.0,5.7546875,101.0,8,678.93,1,22.54,8,678.93,74.0,5,0,1,177.316,45.64236111111112,68.1,38.8,8.9,65.1,-24.6,40.5,29.9,1,0,0.0,,,,0
2135301,13968764,530550,AST-1120,2025-01-01 03:19:00.000,2025-01-07 13:26:00.000,Hub-Pacific -> Hub-East,Hub-Pacific,Hub-East,2738.0,2738,UNK,41.0,Winter,1,2,6.4215277777777775,0,1,0,C600,2015.0,90,10.0,10.0,3469,99.0,1.0,9.0,,,,,,,,,,202.0,1,,0,,0,,0,300.0,1,2880.94,6,2006.51,4,0.0,0,0.0,0,0.0,0,0.0,0,1019.56,3,712.15,2,2880.94,6,2006.51,4,0.0,0,0,2.0,99.0,0,4,9,9,4,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,19714.0,6.460740740740741,379.0,8,1223.76,0,0.0,8,1223.76,99.0,11,1,3,116.13909090909092,20.429861111111112,100.35666666666668,38.8,18.9,65.1,-24.6,40.5,19.9,1,0,1.0,,,,0
